Dataset,Classifier,Method,Metric,N_Folds,Mean,Std
colon,OPF,QUBO-SB (K=10),ACCURACY,5,0.6653846153846155,0.1637064530229069
colon,OPF,QUBO-SB (K=10),PRECISION,5,0.5666666666666667,0.4346134936801766
colon,OPF,QUBO-SB (K=10),RECALL,5,0.4,0.2345207879911715
colon,OPF,QUBO-SB (K=10),F1,5,0.44848484848484843,0.2797086244658018
colon,OPF,QUBO-SB (K=10),AUC,5,0.68,0.25599835204547705
colon,OPF,QUBO-SB (K=20),ACCURACY,5,0.8397435897435898,0.05247021007610542
colon,OPF,QUBO-SB (K=20),PRECISION,5,0.86,0.12942179105544785
colon,OPF,QUBO-SB (K=20),RECALL,5,0.6900000000000001,0.16355427233796127
colon,OPF,QUBO-SB (K=20),F1,5,0.7457142857142858,0.10697606064452182
colon,OPF,QUBO-SB (K=20),AUC,5,0.9175000000000001,0.06455980754308366
colon,OPF,QUBO-SB (K=50),ACCURACY,5,0.6935897435897436,0.15795787519242502
colon,OPF,QUBO-SB (K=50),PRECISION,5,0.65,0.33541019662496846
colon,OPF,QUBO-SB (K=50),RECALL,5,0.5,0.1903943276465977
colon,OPF,QUBO-SB (K=50),F1,5,0.5448051948051947,0.21632247312710706
colon,OPF,QUBO-SB (K=50),AUC,5,0.67375,0.15596223501219775
colon,OPF,QUBO-SB (K=100),ACCURACY,5,0.5615384615384615,0.15548010521083014
colon,OPF,QUBO-SB (K=100),PRECISION,5,0.36666666666666664,0.41499665326629104
colon,OPF,QUBO-SB (K=100),RECALL,5,0.32,0.4147288270665544
colon,OPF,QUBO-SB (K=100),F1,5,0.2976190476190476,0.3124858273430164
colon,OPF,QUBO-SB (K=100),AUC,5,0.6275000000000001,0.30238634228417133
colon,OPF,RFECV (K=600),ACCURACY,2,0.8012820512820513,0.04532735776836842
colon,OPF,RFECV (K=600),PRECISION,2,0.8333333333333333,0.23570226039551587
colon,OPF,RFECV (K=600),RECALL,2,0.7,0.4242640687119285
colon,OPF,RFECV (K=600),F1,2,0.6857142857142857,0.16162440712835377
colon,OPF,RFECV (K=600),AUC,2,0.971875,0.004419417382415906
colon,OPF,RFECV (K=2000),ACCURACY,2,0.8012820512820513,0.04532735776836842
colon,OPF,RFECV (K=2000),PRECISION,2,0.875,0.1767766952966369
colon,OPF,RFECV (K=2000),RECALL,2,0.575,0.24748737341529162
colon,OPF,RFECV (K=2000),F1,2,0.6607142857142857,0.12626906806902638
colon,OPF,RFECV (K=2000),AUC,2,0.821875,0.20771261697354831
colon,OPF,RFECV (K=400),ACCURACY,1,0.6666666666666666,0.0
colon,OPF,RFECV (K=400),PRECISION,1,0.5,0.0
colon,OPF,RFECV (K=400),RECALL,1,0.5,0.0
colon,OPF,RFECV (K=400),F1,1,0.5,0.0
colon,OPF,RFECV (K=400),AUC,1,0.78125,0.0
colon,RF,ANOVA (K=10),ACCURACY,5,0.8384615384615385,0.12391872906685139
colon,RF,ANOVA (K=10),PRECISION,5,0.8133333333333332,0.1849924923401548
colon,RF,ANOVA (K=10),RECALL,5,0.73,0.27748873851023215
colon,RF,ANOVA (K=10),F1,5,0.7444444444444444,0.19876159799998133
colon,RF,ANOVA (K=10),AUC,5,0.900625,0.07882189178775145
colon,RF,ANOVA (K=20),ACCURACY,5,0.8384615384615385,0.12391872906685139
colon,RF,ANOVA (K=20),PRECISION,5,0.8133333333333332,0.1849924923401548
colon,RF,ANOVA (K=20),RECALL,5,0.73,0.27748873851023215
colon,RF,ANOVA (K=20),F1,5,0.7444444444444444,0.19876159799998133
colon,RF,ANOVA (K=20),AUC,5,0.9112500000000001,0.09746794344808965
colon,RF,ANOVA (K=50),ACCURACY,5,0.8551282051282051,0.11427529420891978
colon,RF,ANOVA (K=50),PRECISION,5,0.8433333333333334,0.15073892072793352
colon,RF,ANOVA (K=50),RECALL,5,0.73,0.27748873851023215
colon,RF,ANOVA (K=50),F1,5,0.7611111111111111,0.19404721329525534
colon,RF,ANOVA (K=50),AUC,5,0.8699999999999999,0.11620630899396125
colon,RF,ANOVA (K=100),ACCURACY,5,0.8538461538461538,0.07071648907959802
colon,RF,ANOVA (K=100),PRECISION,5,0.8066666666666666,0.1422048600513436
colon,RF,ANOVA (K=100),RECALL,5,0.8099999999999999,0.2073644135332772
colon,RF,ANOVA (K=100),F1,5,0.7862626262626262,0.11663408526641811
colon,RF,ANOVA (K=100),AUC,5,0.880625,0.09541234524420832
colon,RF,Lasso (K=58),ACCURACY,1,0.9230769230769231,0.0
colon,RF,Lasso (K=58),PRECISION,1,1.0,0.0
colon,RF,Lasso (K=58),RECALL,1,0.8,0.0
colon,RF,Lasso (K=58),F1,1,0.8888888888888888,0.0
colon,RF,Lasso (K=58),AUC,1,0.975,0.0
colon,RF,Lasso (K=36),ACCURACY,1,0.8461538461538461,0.0
colon,RF,Lasso (K=36),PRECISION,1,0.8,0.0
colon,RF,Lasso (K=36),RECALL,1,0.8,0.0
colon,RF,Lasso (K=36),F1,1,0.8,0.0
colon,RF,Lasso (K=36),AUC,1,0.9,0.0
colon,RF,Lasso (K=719),ACCURACY,1,0.75,0.0
colon,RF,Lasso (K=719),PRECISION,1,0.6,0.0
colon,RF,Lasso (K=719),RECALL,1,0.75,0.0
colon,RF,Lasso (K=719),F1,1,0.6666666666666666,0.0
colon,RF,Lasso (K=719),AUC,1,0.8125,0.0
colon,RF,Lasso (K=57),ACCURACY,1,0.8333333333333334,0.0
colon,RF,Lasso (K=57),PRECISION,1,1.0,0.0
colon,RF,Lasso (K=57),RECALL,1,0.5,0.0
colon,RF,Lasso (K=57),F1,1,0.6666666666666666,0.0
colon,RF,Lasso (K=57),AUC,1,0.9375,0.0
