method_label,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,reduction_rate_mean,reduction_rate_std,runtime_selection_mean,runtime_selection_std,runtime_training_mean,runtime_training_std
QUBO-SA (K=10),xgboost,0.7384615384615385,0.16282556018827204,0.5818181818181818,0.3417665982999196,0.6166666666666667,0.3890872509976251,0.62,0.41472882706655445,0.8550000000000001,0.17015617825985632,0.9949999999999999,0.0,9.347480723200714,2.7377222795073073,0.25762510599961386,0.02746423589522808
QUBO-SA (K=100),catboost,0.7743589743589744,0.11407735244370558,0.5792063492063492,0.24667121198647662,0.7833333333333333,0.2173067468400883,0.5,0.2761340254296815,0.8125,0.1326561579799445,0.9515,0.0,7.125182744399353,0.17980342702645702,1.9790391570000794,0.3206339677830788
QUBO-SA (K=100),knn,0.6474358974358975,0.14117125349708487,0.43317460317460316,0.27765099147358274,0.46333333333333326,0.2930680618711102,0.41,0.2701851217221259,0.624375,0.25117302925473506,0.9515,0.0,7.125182744399353,0.17980342702645702,0.1765252800003509,0.038046778165839394
QUBO-SA (K=100),opf,0.5782051282051281,0.11665962221617768,0.4533333333333333,0.14085278191373965,0.43499999999999994,0.15370426148939398,0.5,0.1903943276465977,0.6012500000000001,0.13509256086106294,0.9515,0.0,7.125182744399353,0.17980342702645702,0.02109114920021966,0.006443526171821299
QUBO-SA (K=100),rf,0.7602564102564103,0.08923850541176848,0.5514285714285714,0.20784364217323736,0.8,0.2091650066335189,0.47000000000000003,0.2659887215654077,0.779375,0.08619563504029655,0.9515,0.0,7.125182744399353,0.17980342702645702,0.8336525783997786,0.048687497704219845
QUBO-SA (K=100),svm,0.7897435897435898,0.12258515536386068,0.6222222222222221,0.3651483716701107,0.5942857142857143,0.3743838475497072,0.67,0.38665229858362404,0.8150000000000001,0.09287087810503353,0.9515,0.0,7.125182744399353,0.17980342702645702,0.04514897979970556,0.006696918460801096
QUBO-SA (K=100),xgboost,0.7923076923076924,0.08583522431420763,0.6444444444444445,0.17497795275581798,0.8300000000000001,0.17175564037317667,0.5900000000000001,0.27018512172212594,0.8012499999999999,0.1139147159062428,0.9515,0.0,7.125182744399353,0.17980342702645702,0.28173483060018045,0.014376188134435875
QUBO-SA (K=20),catboost,0.7282051282051282,0.14280635661555593,0.5571428571428572,0.23004923503828076,0.6733333333333333,0.2385139175999776,0.52,0.2949576240750525,0.835,0.1267533283586668,0.9903000000000001,0.0002738612787526475,6.837493050000194,0.20502055724111434,0.4735885108006187,0.18182564646726965
QUBO-SA (K=20),knn,0.7756410256410257,0.10256410256410255,0.6311111111111111,0.19913392726417645,0.73,0.19235384061671346,0.5900000000000001,0.27018512172212594,0.7837500000000001,0.19197015148845403,0.9903000000000001,0.0002738612787526475,6.837493050000194,0.20502055724111434,0.22281531500048005,0.03585254647156525
QUBO-SA (K=20),opf,0.7256410256410256,0.15083865922795034,0.588095238095238,0.22737783592977753,0.6533333333333333,0.27167177909299955,0.55,0.22079402165819617,0.66625,0.24687895566451185,0.9903000000000001,0.0002738612787526475,6.837493050000194,0.20502055724111434,0.027924490599252748,0.017057159719715064
